Crop,Crop_matched,Target_mode,Soil_N_ppm,Soil_P_ppm,Soil_K_ppm,Target_N,Target_P,Target_K,Required_N,Required_P,Required_K,Complete_kg_ha,Urea_kg_ha,Compost_kg_ha,N_from_Complete,P_from_Complete,K_from_Complete,N_from_Urea,Total_N_supplied,Total_P_supplied,Total_K_supplied
Chayote,Chayote,L,34.6,21.24,33.56,57.3,81.7,58.9,22.7,60.5,25.3,432.1,8.23,4.0,60.49,60.49,60.49,9.0,60.52,60.5,60.5
Carrot,Carrot,H,74.43,20.19,32.24,67.4,30.9,28.6,5.75,10.7,2.07,76.4,6.76,1.82,10.7,10.7,10.7,8.0,10.7,10.7,10.7
Chili Pepper,Chili Pepper,L,30.46,35.59,62.35,91.3,83.4,146.3,60.8,47.8,84.0,600.0,3.99,4.85,84.0,84.0,84.0,6.0,84.0,84.0,84.0
Ampalaya,Ampalaya,M,41.42,20.32,32.06,48.3,51.0,45.0,6.9,30.7,12.9,219.3,5.99,6.65,30.7,30.7,30.7,5.0,30.7,30.7,30.7
Cabbage,Cabbage,L,133.51,25.62,17.5,151.1,62.7,60.4,17.6,37.1,42.9,306.4,7.28,8.11,42.9,42.9,42.9,9.0,42.9,42.9,42.9
Tomato,Tomato,M,78.86,30.6,28.79,76.8,75.9,61.8,2.19,45.3,33.0,323.6,4.08,2.81,45.3,45.3,45.3,6.0,45.3,45.3,45.3
Ampalaya,Ampalaya,L,35.58,19.61,32.85,90.5,82.0,60.2,54.9,62.4,27.4,445.7,7.37,1.3,62.4,62.4,62.4,10.0,62.4,62.4,62.4
Ampalaya,Ampalaya,H,39.68,21.88,29.52,40.8,19.5,31.1,1.1,9.18,1.6,11.4,4.65,7.84,1.6,1.6,1.6,6.0,1.6,1.6,1.6
Eggplant,Eggplant,L,61.59,19.8,31.43,92.3,83.1,86.1,30.7,63.3,54.7,452.1,5.26,1.0,63.29,63.29,63.29,1.0,63.32,63.3,63.3
Tomato,Tomato,L,65.25,27.49,33.06,92.0,118.6,91.5,26.8,91.1,58.4,650.7,3.58,7.76,91.1,91.1,91.1,1.0,91.1,91.1,91.1
Carrot,Carrot,M,78.64,32.17,32.48,76.6,59.6,78.5,1.87,27.4,46.0,328.6,4.71,3.53,46.0,46.0,46.0,1.0,46.0,46.0,46.0
Chili Pepper,Chili Pepper,L,30.7,29.58,49.52,93.2,81.9,147.8,62.5,52.3,98.3,702.1,4.51,9.0,98.29,98.29,98.29,5.0,98.32,98.3,98.3
String Bean,String Bean,M,39.68,17.28,31.36,42.0,47.0,41.9,2.3,29.7,10.5,212.1,8.84,4.0,29.69,29.69,29.69,10.0,29.72,29.7,29.7
Carrot,Carrot,M,63.7,28.35,28.09,80.7,61.4,71.6,17.0,33.0,43.5,310.7,1.73,6.02,43.5,43.5,43.5,9.0,43.5,43.5,43.5
Chili Pepper,Chili Pepper,H,27.93,30.85,52.71,31.4,28.6,63.0,3.5,5.93,10.3,73.6,3.99,9.76,10.3,10.3,10.3,9.0,10.3,10.3,10.3
Cabbage,Cabbage,L,130.71,32.58,16.18,143.0,61.0,59.3,12.3,28.4,43.1,307.9,3.58,5.57,43.11,43.11,43.11,5.0,43.11,43.11,43.11
Patola,Patola,M,30.86,19.7,29.48,63.0,49.3,43.7,32.1,29.6,14.2,211.4,5.4,0.7,29.6,29.6,29.6,2.48,32.1,29.61,29.61
Okra,Okra,M,84.13,21.84,29.21,81.3,48.4,63.0,2.33,26.6,33.8,241.4,2.77,8.57,33.8,33.8,33.8,8.0,33.8,33.8,33.8
Tomato,Tomato,H,62.45,36.96,27.05,68.3,30.7,28.5,5.8,1.03,1.4,10.0,9.6,8.04,1.4,1.4,1.4,4.42,5.82,1.4,1.4
Chili Pepper,Chili Pepper,H,30.55,36.73,61.04,29.3,28.8,60.5,8.5,9.44,9.75,8.5,1.59,4.63,10.0,1.0,10.0,9.0,4.0,10.0,9.0
Chili Pepper,Chili Pepper,H,28.14,30.78,62.73,28.9,30.2,58.1,0.8,4.37,5.57,9.8,1.7,0.7,3.0,5.0,10.0,0.78,0.8,0.01,0.01
Cabbage,Cabbage,M,127.38,28.44,16.39,136.6,35.7,44.9,9.2,7.3,28.5,203.6,8.37,2.69,28.5,28.5,28.5,4.0,28.5,28.5,28.5
Ampalaya,Ampalaya,H,35.57,19.59,28.02,38.2,20.5,29.6,2.6,0.9,1.6,11.4,2.2,7.28,1.6,1.6,1.6,1.01,2.61,1.6,1.6
Okra,Okra,H,76.27,19.62,34.28,81.5,19.1,30.9,5.2,7.14,9.99,5.34,11.3,7.58,5.0,10.0,7.0,5.2,5.2,7.0,9.0
Carrot,Carrot,M,57.8,29.34,28.9,77.1,59.9,74.4,19.3,30.6,45.5,325.0,8.16,3.35,45.5,45.5,45.5,3.0,45.5,45.5,45.5
Chili Pepper,Chili Pepper,H,26.51,26.69,70.6,29.7,30.7,62.2,3.2,4.0,2.45,28.6,7.29,9.1,4.0,4.0,4.0,8.0,4.0,4.0,4.0
Chayote,Chayote,L,41.54,19.73,32.44,57.4,79.6,60.6,15.9,59.9,28.2,427.9,9.24,3.81,59.91,59.91,59.91,9.0,59.91,59.91,59.91
Ampalaya,Ampalaya,H,31.23,18.66,29.24,38.8,19.0,31.4,7.6,0.3,2.2,15.7,11.7,0.7,2.2,2.2,2.2,5.38,7.6,2.21,2.21
Chayote,Chayote,M,45.04,21.42,30.53,51.0,48.3,43.9,6.0,26.9,13.4,192.1,9.59,3.0,26.89,26.89,26.89,1.0,26.92,26.9,26.9
Patola,Patola,M,27.67,19.56,29.6,62.4,49.9,43.4,34.7,30.3,13.8,216.4,9.6,7.52,30.3,30.3,30.3,4.42,34.72,30.3,30.3
Okra,Okra,H,70.07,18.9,29.9,77.6,19.7,29.4,7.5,0.8,1.19,5.7,14.6,7.53,0.8,0.8,0.8,6.72,7.52,0.8,0.8
Eggplant,Eggplant,H,61.62,23.19,31.57,67.8,19.8,30.7,6.2,6.23,9.59,7.68,13.5,2.78,6.0,6.0,5.0,6.21,6.21,10.0,5.0
Cabbage,Cabbage,M,88.94,32.23,18.06,136.1,34.1,45.7,47.2,1.9,27.6,197.1,42.6,7.0,27.59,27.59,27.59,19.6,47.22,27.6,27.6
Chayote,Chayote,H,38.33,18.14,27.68,38.1,20.9,29.6,9.54,2.8,1.9,20.0,8.73,5.04,2.8,2.8,2.8,8.0,2.8,2.8,2.8
Ampalaya,Ampalaya,M,40.97,21.52,36.23,51.3,51.1,47.0,10.3,29.6,10.8,211.4,8.41,9.98,29.6,29.6,29.6,2.0,29.6,29.6,29.6
Eggplant,Eggplant,M,76.86,17.77,28.29,79.9,49.7,59.2,3.0,31.9,30.9,227.9,6.08,6.3,31.91,31.91,31.91,2.0,31.91,31.91,31.91
String Bean,String Bean,L,37.82,19.89,30.13,50.0,92.6,52.0,12.2,72.7,21.9,519.3,4.82,9.06,72.7,72.7,72.7,3.0,72.7,72.7,72.7
Patola,Patola,H,24.98,16.97,28.15,30.2,20.8,28.9,5.2,3.8,0.8,27.1,3.1,4.0,3.79,3.79,3.79,1.43,5.25,3.8,3.8
Chili Pepper,Chili Pepper,L,33.5,30.33,58.42,87.6,82.5,143.7,54.1,52.2,85.3,609.3,5.0,6.2,85.3,85.3,85.3,4.0,85.3,85.3,85.3
Eggplant,Eggplant,L,71.14,21.44,28.57,91.5,82.1,93.0,20.4,60.7,64.4,460.0,6.94,3.72,64.4,64.4,64.4,7.0,64.4,64.4,64.4
Chili Pepper,Chili Pepper,H,31.43,30.88,58.66,29.8,29.0,59.4,1.21,8.54,0.7,5.0,3.88,4.38,0.7,0.7,0.7,7.0,0.7,0.7,0.7
Chayote,Chayote,L,40.7,18.63,27.7,57.7,81.7,59.3,17.0,63.1,31.6,450.7,2.64,8.48,63.1,63.1,63.1,2.0,63.1,63.1,63.1
